0,0,0,16048,0
0,0,1,16678,0
0,2,0,16129,0
0,2,1,16631,0
0,4,0,16102,0
0,4,1,16688,0
0,6,0,16179,0
0,6,1,16660,0
0,8,0,16192,0
0,8,1,16688,0
0,10,0,16137,0
0,10,1,16721,0
0,12,0,16098,0
0,12,1,16625,0
0,14,0,16057,0
0,14,1,16696,0
0,16,0,16039,0
0,16,1,16609,0
0,18,0,16117,0
0,18,1,16576,0
0,20,0,16062,3
0,20,1,16662,0
0,22,0,16150,17
0,22,1,16670,11
0,24,0,16144,94
0,24,1,16621,41
0,26,0,16056,266
0,26,1,16691,194
0,28,0,16053,739
0,28,1,16619,602
0,30,0,16034,1547
0,30,1,16694,1355
0,32,0,16060,2524
0,32,1,16642,2596
0,34,0,16087,3724
0,34,1,16621,4429
0,36,0,16045,5301
0,36,1,16670,6140
0,38,0,16103,7134
0,38,1,16712,8010
0,40,0,16227,8979
0,40,1,16358,9607
0,42,0,16142,10203
0,42,1,16487,11107
0,44,0,16099,11628
0,44,1,16513,13053
0,46,0,16073,13477
0,46,1,16441,14593
0,48,0,16055,14870
0,48,1,16458,15980
0,50,0,16064,15670
0,50,1,16455,16408
0,52,0,16040,15982
0,52,1,16515,16514
0,54,0,16107,16102
0,54,1,16398,16398
0,56,0,16091,16091
0,56,1,16573,16573
0,58,0,16115,16115
0,58,1,16386,16386
0,60,0,16120,16120
0,60,1,16519,16519
0,62,0,16120,16120
0,62,1,16464,16464
